"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Algeria","DZA","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36133739865702","0.490979024175916","1.23047664893701","1.78289891602892","2.41498191062938","3.82601450739119","7.61995811538362","63.3257015514048","67.6084824277976",
"East Asia & Pacific (excluding high income)","EAP","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43393311232064","3.55549264667985","6.87628578465264","9.02175775036826","14.2259650609037","24.5122305076406","106.547854737601","466.892955520043","680.444847701139",
"Early-demographic dividend","EAR","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.11518341378862","10.0048906987186","17.5117115744245","21.0441387202156","25.7933782311062","33.621938805265","126.819575109989","501.354061179904","623.2386486703",
"East Asia & Pacific","EAS","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.8647083914702","78.6005983392229","112.25458991208","130.203506682655","163.01985340698","196.625832118491","412.358858705965","1237.7796189965","2000.49416437468",
"Europe & Central Asia (excluding high income)","ECA","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.4957051310608","41.3554635678568","82.2496512105399","104.452462341167","139.498406441061","241.20230295173","1157.06905393343","3746.75055454146","5056.18729424562",
"Europe & Central Asia","ECS","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369.101148351074","530.14759657425","791.810116327324","935.529312309153","1175.92294714053","1609.58817393649","4421.04937798982","12173.0674938564","18856.9424016512",
"Ecuador","ECU","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5921498047081","13.8416176508308","23.9755431365258","30.6860288293331","41.6879860490058","81.359386430562","120.549762705554","209.944844200849","265.623107735339",
"Egypt, Arab Rep.","EGY","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.47700508577476","2.98121656113121","5.05656877211236","6.36844400927372","8.01772490055643","10.547091481588","14.6960617265086","36.1873306330534","35.1135314657019",
"Euro area","EMU","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","544.031519789922","782.288710503457","1192.36958903465","1428.14996240477","1853.58507896156","2493.4743253032","6792.82453974601","19626.320172328","30494.5500081395",
"Eritrea","ERI","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.315414130868477","0.311141478519415","","","","","","","",
"Spain","ESP","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207.055442100404","265.003964148667","403.629824906669","488.330716969492","625.848709153152","889.571524340964","2762.58907744369","7247.03903373442","11320.6669267913",
"Estonia","EST","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","535.496348035074","730.730376311077","1255.76852126263","1613.81247453522","2194.67572430004","3120.70712714772","10786.6756853297","29131.217625233","48933.895784944",
"Ethiopia","ETH","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0342309588351725","0.0443754519570445","0.25882437160597","0.293544787622181","0.366993976701163","0.327265831430051","0.405391705826621","0.714285553168672","1.46487201655811",
"European Union","EUU","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","591.010753135338","842.956411934341","1254.61636783701","1485.01464664179","1872.33078236979","2529.52625751995","6746.42213525872","18869.8769614305","29326.0271167179",
"Fragile and conflict affected situations","FCS","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.542602760967007","0.861192324036883","1.64621216824128","2.07710576097836","2.97330608916219","3.82307395485915","9.96199963966139","29.2233113642886","33.1362581495494",
"Finland","FIN","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1017.4607223244","1581.02634759344","2205.22053036487","2525.47724091979","3008.87373313471","3395.18108392853","7131.36291119889","22324.1144951885","33983.5630340428",
"Fiji","FJI","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.1194787734148","24.3210658649208","47.3950632839693","49.6760658404266","73.8643642528793","90.948128483227","113.480185098791","149.294724881732","173.178204900377",
"France","FRA","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","278.051563625221","401.406245647951","622.466020271244","821.349673213954","1188.89681389587","1897.18597495132","6674.44732982023","14831.1951590204","20414.9464635386",
"Faroe Islands","FRO","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1735.89325302213","2258.32758296217","3135.25489622306","3466.13213062724","3628.02335279399","3683.58618967347","3695.01588026488","3931.22426599905","4639.46223477741",
"Micronesia, Fed. Sts.","FSM","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.1514026683251","77.3320444659256","114.825943008057","103.846081226517","120.991009437299","137.747371320997","154.243977679989","161.494361155223","186.434659090909",
